      Pixel        Fit       User   Residual Fwidth Wt Label
 1  3374.46  4471.5262   4471.479 0.04721028   2.00  1 HeI
 2  4219.24  4764.8779  4764.8646 0.01330585   2.00  1 ArII
 3  4941.44  5015.6668  5015.6779  -0.011064   2.00  1 HeI
 4  7351.16  5852.4622  5852.4878 -0.0256238   2.00  1 NeI
 5  7417.83  5875.6123   5875.621 -0.0086663   2.00  1 HeI
 6  7617.12   5944.819  5944.8342 -0.0151667   2.00  1 NeI
 7  7990.23  6074.3845  6074.3377 0.04675131   2.00  1 NeI
 8  8052.79  6096.1121  6096.1631 -0.0510236   2.00  1 NeI
 9  8188.15  6143.1154  6143.0626 0.05283169   2.00  1 NeI
10  8246.99  6163.5492  6163.5939 -0.0447435   2.00  1 NeI
11  8543.48  6266.5082   6266.495 0.01321918   2.00  1 NeI
12  8738.86  6334.3558  6334.4278 -0.0719588   2.00  1 NeI
13  8878.72  6382.9246  6382.9917 -0.0670763   2.00  1 NeI
14  8934.35  6402.2453   6402.246 -7.4395E-4   2.00  1 NeI
15  9234.55  6506.4931  6506.5281 -0.0350127   2.00  1 NeI
16  9310.49  6532.8628  6532.8822 -0.0193684   2.00  1 NeI
17  9500.68  6598.9117  6598.9529 -0.0411952   2.00  1 NeI
18  9840.77  6717.0122   6717.043 -0.0307873   2.00  1 NeI
19  9944.11  6752.8997  6752.8335  0.0661578   2.00  1 ArI
20 10284.88  6871.2369  6871.2891 -0.0522441   2.00  1 ArI
21 10452.65   6929.497  6929.4673 0.02972234   2.00  1 NeI
22 10476.39  6937.7426  6937.6642 0.07838686   2.00  1 ArI
23 10556.32  6965.4985  6965.4307 0.06784803   2.00  1 ArI
24 10748.88  7032.3693  7032.4131 -0.0438087   2.00  1 NeI
25 11361.77   7245.207  7245.1666 0.04035117   2.00  1 NeI
26 11441.76  7272.9831  7272.9359 0.04717033   2.00  1 ArI
27 11465.87  7281.3582   7281.349 0.00923218   2.00  1 HeI
28 11761.64  7384.0673  7383.9805 0.08683411   2.00  1 ArI
29 12106.34  7503.7725  7503.8691 -0.0965605   2.00  1 ArI
30 12137.81  7514.7024  7514.6518 0.05061424   2.00  1 ArI
31 12347.35  7587.4683   7587.413 0.05525539   2.00  1 KrI
32 12387.94  7601.5653  7601.5443 0.02100189   2.00  1 KrI
33 12484.28  7635.0207   7635.106 -0.0852945   2.00  1 ArI
34 13385.87  7948.1168  7948.1764 -0.0596464   2.00  1 ArI
35 13553.13   8006.202  8006.1567 0.04530673   2.00  1 ArI
36 13577.67  8014.7258  8014.7857  -0.059883   2.00  1 ArI
37 13706.66  8059.5184  8059.5038 0.01460318   2.00  1 KrI
38 13833.73  8103.6494  8103.6931 -0.0437283   2.00  1 ArI
39 13867.40  8115.3404   8115.311 0.02938069   2.00  1 ArI
40 14297.13  8264.5743  8264.5225 0.05183847   2.00  1 ArI
41 14622.50  8377.5685  8377.6065 -0.0379869   2.00  1 NeI
42 14710.86   8408.254  8408.2096 0.04436053   2.00  1 ArI
43 14757.96  8424.6095  8424.6475 -0.0379766   2.00  1 ArI
44 15036.96  8521.4994  8521.4422 0.05718102   2.00  1 ArI
45 15458.77  8667.9847  8667.9442 0.04046376   2.00  1 ArI
46 15771.87    8776.72   8776.749 -0.0289527   2.00  1 KrI
47 16209.67  8928.7591   8928.692 0.06706378   2.00  1 KrI
48 16768.75   9122.914  9122.9674 -0.0533532   2.00  1 ArI
49 17061.17  9224.4673  9224.4992 -0.0319291   2.00  1 ArI
50 18308.85   9657.764  9657.7863 -0.0222963   2.00  1 ArI
